INDEX,TEAM,SCORING OFFENSE,SCORING DEFENSE,SEASON,,
169,ATL,0.131410256,4.58974359,2014,,
170,ARI,-2.608974359,-4.503205128,2014,,
171,SEA,2.278846154,-6.25,2014,,
172,NYG,1.163461538,3.032051282,2014,,
173,GB,7.413461538,0.198717949,2014,,
174,NE,8.153846154,-3.948717949,2014,,
175,LV,-5.487179487,5.272435897,2014,,
176,DET,-3.727564103,-4.538461538,2014,,
177,WAS,-4.5,4.105769231,2014,,
178,TEN,-7.592948718,3.897435897,2014,,
179,PHI,6.58974359,2.900641026,2014,,
180,NYJ,-5.336538462,1.330128205,2014,,
181,KC,0.237179487,-5.493589744,2014,,
182,JAX,-7.519230769,2.118589744,2014,,
183,SF,-3.019230769,-1.573717949,2014,,
184,BUF,-2.016025641,-4.935897436,2014,,
185,LAC,1.522435897,-0.673076923,2014,,
186,DEN,8.721153846,1.144230769,2014,,
187,CHI,-1.657051282,4.599358974,2014,,
188,DAL,6.205128205,-0.701923077,2014,,
189,MIA,3.474358974,0.599358974,2014,,
190,MIN,-1.528846154,-0.862179487,2014,,
191,LAR,-1.038461538,-0.926282051,2014,,
192,PIT,5.935897436,-2.125,2015,,
193,CLE,-3.801282051,3.230769231,2015,,
194,NO,1.371794872,8.432692308,2015,,
195,TB,-3.352564103,4.227564103,2015,,
196,HOU,-2.775641026,-2.91025641,2015,,
197,IND,-2.657051282,1.676282051,2015,,
198,CIN,4.782051282,-4.955128205,2015,,
199,CAR,6.926282051,-3.240384615,2015,,
200,BAL,-2.487179487,2.150641026,2015,,
201,ATL,-2.576923077,-1.403846154,2015,,
202,ARI,9.051282051,-2.467948718,2015,,
203,SEA,4.663461538,-6.044871795,2015,,
204,NYG,4.358974359,5.775641026,2015,,
205,GB,1.955128205,-2.458333333,2015,,
206,NE,6.634615385,-3.051282051,2015,,
207,LV,1.198717949,3.314102564,2015,,
208,DET,-0.108974359,2.320512821,2015,,
209,WAS,0.548076923,1.025641026,2015,,
210,TEN,-5.858974359,2.503205128,2015,,
211,PHI,-0.224358974,3.233974359,2015,,
212,NYJ,-0.403846154,-3.099358974,2015,,
213,KC,2.862179487,-3.830128205,2015,,
214,JAX,-0.134615385,6.03525641,2015,,
215,SF,-6.233974359,0.483974359,2015,,
216,BUF,-0.275641026,-0.083333333,2015,,
217,LAC,-0.788461538,2.394230769,2015,,
218,DEN,0.227564103,-4.480769231,2015,,
219,CHI,-1.006410256,1.458333333,2015,,
220,DAL,-7.576923077,-1.769230769,2015,,
221,MIA,-4.445512821,0.551282051,2015,,
222,MIN,0.269230769,-4.333333333,2015,,
223,LAR,-6.076923077,-2.560897436,2015,,
224,PIT,3.943181818,-1.91958042,2016,,
225,CLE,-4.618055556,5.670138889,2016,,
226,NO,7.321678322,5.076340326,2016,,
227,TB,-1.698717949,-0.810897436,2016,,
228,HOU,-6.157051282,-2.830128205,2016,,
229,IND,3.666666667,2.903846154,2016,,
230,CIN,-1.160547786,-1.776223776,2016,,
231,CAR,-0.586538462,0.192307692,2016,,
232,BAL,-0.81993007,-2.333624709,2016,,
233,ATL,9.631410256,1.189102564,2016,,
234,ARI,3.21474359,0.673076923,2016,,
235,SEA,-1.583333333,-5.076923077,2016,,
236,NYG,-4.309027778,-5.215277778,2016,,
237,GB,5.263403263,2.503205128,2016,,
238,NE,4.930652681,-5.417249417,2016,,
239,LV,5.195512821,0.759615385,2016,,
240,DET,-0.932400932,0.516608392,2016,,
241,WAS,3.319055944,1.866550117,2016,,
242,TEN,0.841200466,0.824300699,2016,,
243,PHI,0.967365967,-3.03962704,2016,,
244,NYJ,-6.673076923,2.899184149,2016,,
245,KC,-1.16025641,-4.448717949,2016,,
246,JAX,-3.903846154,2.608974359,2016,,
247,SF,-4.371794872,8.657051282,2016,,
248,BUF,2.187062937,1.323135198,2016,,
249,LAC,2.671328671,3.093240093,2016,,
250,DEN,-2.516025641,-7.253205128,2016,,
251,CHI,-5.561188811,3.33041958,2016,,
252,DAL,5.04516317,-2.897144522,2016,,
253,MIA,-1.814685315,1.303321678,2016,,
254,MIN,-2.361013986,-3.846445221,2016,,
255,LAR,-8.657634033,1.509615385,2016,,
256,PIT,3.394230769,-3.009615385,2017,,
257,CLE,-7.208333333,4.025641026,2017,,
258,NO,6.935897436,-1.682692308,2017,,
259,TB,-0.182692308,2.266025641,2017,,
260,HOU,0.092948718,5.375,2017,,
261,IND,-5.689102564,4.118589744,2017,,
262,CIN,-5.080128205,1.118589744,2017,,
263,CAR,2.375,-2.451923077,2017,,
264,BAL,2.208333333,-1.724358974,2017,,
265,ATL,0.333333333,-2.669871795,2017,,
266,ARI,-4.144230769,-0.384615385,2017,,
267,SEA,1.480769231,-0.932692308,2017,,
268,NYG,-7.400641026,1.423076923,2017,,
269,GB,-0.08974359,2.169871795,2017,,
270,NE,7.185897436,-2.435897436,2017,,
271,LV,-2.692307692,1.862179487,2017,,
272,DET,4.503205128,4.060897436,2017,,
273,WAS,1.022435897,0.503205128,2017,,
274,TEN,-2.602564103,1.03525641,2017,,
275,PHI,7.419871795,-3.413461538,2017,,
276,NYJ,-3.301282051,2.362179487,2017,,
277,KC,3.435897436,0.532051282,2017,,
278,JAX,3.570512821,-3.778846154,2017,,
279,SF,-1.03525641,2.451923077,2017,,
280,BUF,-3.301282051,0.705128205,2017,,
281,LAC,0.663461538,-4.762820513,2017,,
282,DEN,-3.974358974,3.288461538,2017,,
283,CHI,-5.243589744,-4.461538462,2017,,
284,DAL,0.099358974,-0.057692308,2017,,
285,MIA,-4.733974359,2.217948718,2017,,
286,MIN,3.375,-6.403846154,2017,,
287,LAR,8.583333333,-1.346153846,2017,,
288,PIT,3.843118687,-1.516098485,2018,,
289,CLE,-1.923076923,-1.098484848,2018,,
290,NO,9.405934343,-4.141098485,2018,,
291,TB,0.769886364,4.228535354,2018,,
292,HOU,2.170138889,-1.412878788,2018,,
293,IND,4.310290404,0.65530303,2018,,
294,CIN,-0.386072261,4.530885781,2018,,
295,CAR,0.185606061,0.976107226,2018,,
296,BAL,-0.174873737,-7.488005051,2018,,
297,ATL,1.940559441,3.846153846,2018,,
298,ARI,-11.35314685,2.076340326,2018,,
299,SEA,1.747790404,-3.234532828,2018,,
300,NYG,-0.370580808,2.338699495,2018,,
301,GB,0.576073232,1.302083333,2018,,
302,NE,3.621212121,-1.097027972,2018,,
303,LV,-4.806818182,5.671328671,2018,,
304,DET,-3.265151515,0.990384615,2018,,
305,WAS,-4.627840909,-1.332070707,2018,,
306,TEN,-3.146464646,-4.292613636,2018,,
307,PHI,-0.804608586,-0.826704545,2018,,
308,NYJ,-0.13415404,4.195391414,2018,,
309,KC,13.32102273,4.543244949,2018,,
310,JAX,-6.35479798,-2.067234848,2018,,
311,SF,-2.528409091,2.583964646,2018,,
312,BUF,-8.143356643,0.621212121,2018,,
313,LAC,4.306186869,-1.875631313,2018,,
314,DEN,-2.810606061,-4.087412587,2018,,
315,CHI,3.150883838,-3.803030303,2018,,
316,DAL,-3.40719697,-4.528093434,2018,,
317,MIA,-1.94665404,5.252525253,2018,,
318,MIN,-0.756701632,-1.742715618,2018,,
319,LAR,9.138403263,-0.146853147,2018,,
